UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
100654,"R",834,"R",321,"R",513,"R",0,"R",0,"R",0,"R",6,"R",3,"R",3,"R",726,"R",274,"R",452,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",70,"R",25,"R",45,"R",0,"R",0,"R",0,"R",6,"R",2,"R",4,"R",25,"R",17,"R",8
100663,"R",4304,"R",1575,"R",2729,"R",10,"R",7,"R",3,"R",205,"R",89,"R",116,"R",806,"R",213,"R",593,"R",92,"R",35,"R",57,"R",1,"R",1,"Z",0,"R",2910,"R",1091,"R",1819,"R",60,"R",20,"R",40,"R",86,"R",45,"R",41,"R",134,"R",74,"R",60
100690,"R",142,"R",69,"R",73,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",41,"R",12,"R",29,"R",4,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"R",48,"R",32,"R",16,"Z",0,"Z",0,"Z",0,"R",48,"R",22,"R",26,"Z",0,"Z",0,"Z",0
100706,"R",1593,"R",801,"R",792,"R",31,"R",15,"R",16,"R",53,"R",23,"R",30,"R",148,"R",48,"R",100,"R",32,"R",11,"R",21,"R",0,"R",0,"R",0,"R",1172,"R",605,"R",567,"R",11,"R",4,"R",7,"R",39,"R",19,"R",20,"R",107,"R",76,"R",31
100724,"R",821,"R",238,"R",583,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"R",3,"R",750,"R",210,"R",540,"R",5,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"R",37,"R",17,"R",20,"R",4,"R",1,"R",3,"R",12,"R",7,"R",5,"R",9,"R",1,"R",8
100751,"R",7091,"R",3036,"R",4055,"R",31,"R",12,"R",19,"R",85,"R",47,"R",38,"R",788,"R",232,"R",556,"R",150,"R",61,"R",89,"R",1,"R",0,"R",1,"R",5757,"R",2545,"R",3212,"R",45,"R",18,"R",27,"R",26,"R",8,"R",18,"R",208,"R",113,"R",95
100760,"R",244,"R",76,"R",168,"R",1,"Z",0,"R",1,"R",1,"Z",0,"R",1,"R",55,"R",16,"R",39,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",183,"R",59,"R",124,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"R",3,"Z",0,"Z",0,"Z",0
100812,"R",907,"R",308,"R",599,"R",12,"R",0,"R",12,"R",2,"R",1,"R",1,"R",106,"R",36,"R",70,"R",10,"R",3,"R",7,"R",0,"R",0,"R",0,"R",734,"R",252,"R",482,"R",11,"R",2,"R",9,"R",22,"R",11,"R",11,"R",10,"R",3,"R",7
100830,"R",798,"R",295,"R",503,"R",9,"R",2,"R",7,"R",8,"R",3,"R",5,"R",188,"R",43,"R",145,"R",10,"R",3,"R",7,"R",0,"R",0,"R",0,"R",511,"R",213,"R",298,"R",14,"R",3,"R",11,"R",18,"R",9,"R",9,"R",40,"R",19,"R",21
100858,"R",5764,"R",2790,"R",2974,"R",30,"R",9,"R",21,"R",116,"R",56,"R",60,"R",373,"R",163,"R",210,"R",112,"R",52,"R",60,"Z",0,"Z",0,"Z",0,"R",4798,"R",2316,"R",2482,"Z",0,"Z",0,"Z",0,"R",50,"R",22,"R",28,"R",285,"R",172,"R",113
100937,"R",299,"R",129,"R",170,"R",2,"R",1,"R",1,"R",14,"R",5,"R",9,"R",18,"R",6,"R",12,"R",4,"R",1,"R",3,"R",0,"R",0,"R",0,"R",258,"R",115,"R",143,"R",1,"R",0,"R",1,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0
101028,"R",187,"R",59,"R",128,"R",1,"Z",0,"R",1,"R",1,"Z",0,"R",1,"R",64,"R",16,"R",48,"R",17,"R",6,"R",11,"Z",0,"Z",0,"Z",0,"R",99,"R",37,"R",62,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",5,"Z",0,"Z",0,"Z",0
101073,"R",67,"R",24,"R",43,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",66,"R",23,"R",43,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",0
101116,"R",153,"R",36,"R",117,"R",2,"Z",0,"R",2,"R",7,"R",2,"R",5,"R",82,"R",19,"R",63,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",54,"R",14,"R",40,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"R",4,"Z",0,"Z",0,"Z",0
